"day","camera","hour","arena","infection.status","track","total_distance_traveled_pixels","time_spent_in_open","distance_spent_in_open","minutes.moving","minutes.staying","tot.distance.cm","tot.distance.m","seconds.time.spent.in.open","open.distance.cm","open.speed.cmxmin"
"day 2","cam 2","hour 2","arena 6","control",4,23834.6291429663,657,1976.36255100849,2.9,57.2,630.62,6.3062,175.785953177258,52.29,18
"day 2","cam 3","hour 2","arena 7","infected",1,24814.8669099855,83,469.87598240385,0.4,59.8,656.56,6.5656,22.2073578595318,12.43,31.1
"day 2","cam 3","hour 2","arena 7","infected",2,14233.2418025997,72,340.305704601909,0.3,59.8,376.59,3.7659,19.2642140468227,9,30
"day 2","cam 3","hour 2","arena 7","control",3,30214.9279924037,662,2956.12384025096,3,57.2,799.44,7.9944,177.123745819398,78.21,26.1
"day 2","cam 3","hour 2","arena 7","control",4,12875.6209105962,0,0,0,60.2,340.67,3.4067,0,0,0
"day 2","cam 4","hour 2","arena 8","infected",1,19108.899525516,548,1511.39650699255,2.4,57.7,505.59,5.0559,146.622073578595,39.99,16.7
"day 2","cam 4","hour 2","arena 8","infected",2,26867.319629818,1222,4035.43473823096,5.4,54.7,710.86,7.1086,326.95652173913,106.77,19.8
"day 2","cam 4","hour 2","arena 8","control",3,25710.2373875225,492,1820.02341902981,2.2,58,680.25,6.8025,131.638795986622,48.15,21.9
"day 2","cam 4","hour 2","arena 8","control",4,15853.4027145255,3812,4292.35960082968,17,43.2,419.45,4.1945,1019.93311036789,113.57,6.7
"day 3","cam 1","hour 2","arena 9","infected",1,25732.667531035,1232,3448.0564422653,5.5,54.7,680.84,6.8084,329.632107023411,91.23,16.6
"day 3","cam 1","hour 2","arena 9","infected",2,27937.5504608039,1984,5666.07528639295,8.8,51.3,739.18,7.3918,530.836120401338,149.91,17
"day 3","cam 1","hour 2","arena 9","control",3,8132.30749261918,1096,1863.69614329728,4.9,55.3,215.17,2.1517,293.244147157191,49.31,10.1
"day 3","cam 1","hour 2","arena 9","control",4,29942.4820186939,1759,4239.71955060931,7.8,52.3,792.23,7.9223,470.635451505017,112.18,14.4
"day 3","cam 2","hour 2","arena 10","infected",1,20958.8599818223,506,1482.59300589041,2.3,57.9,554.54,5.5454,135.384615384615,39.23,17.1
"day 3","cam 2","hour 2","arena 10","infected",2,17316.8711648602,409,722.271721039589,1.8,58.3,458.18,4.5818,109.43143812709,19.11,10.6
"day 3","cam 2","hour 2","arena 10","control",3,19240.7041172523,1160,1724.8334106028,5.2,55,509.08,5.0908,310.367892976589,45.64,8.8
"day 3","cam 2","hour 2","arena 10","control",4,16293.8764485159,170,371.344095719646,0.8,59.4,431.11,4.3111,45.4849498327759,9.83,12.3
"day 3","cam 3","hour 2","arena 11","infected",1,18945.2434704899,309,544.625089221928,1.4,58.8,501.26,5.0126,82.6755852842809,14.41,10.3
"day 3","cam 3","hour 2","arena 11","infected",2,18381.3816851612,318,785.296249494659,1.4,58.7,486.34,4.8634,85.0836120401338,20.78,14.8
"day 3","cam 3","hour 2","arena 11","control",3,8655.51947864428,386,1195.60136445321,1.7,58.4,229.01,2.2901,103.277591973244,31.63,18.6
"day 3","cam 3","hour 2","arena 11","control",4,18278.5025748879,362,1665.13510936443,1.6,58.5,483.62,4.8362,96.8561872909699,44.06,27.5
"day 3","cam 4","hour 2","arena 12","infected",1,21323.1436340773,362,993.09498633875,1.6,58.5,564.17,5.6417,96.8561872909699,26.28,16.4
"day 3","cam 4","hour 2","arena 12","infected",2,20186.6524437525,618,2030.901848647,2.8,57.4,534.11,5.3411,165.351170568562,53.73,19.2
"day 3","cam 4","hour 2","arena 12","control",3,22925.6260034853,522,1137.87674279969,2.3,57.8,606.57,6.0657,139.665551839465,30.11,13.1
"day 3","cam 4","hour 2","arena 12","control",4,23768.6969179159,983,2560.15041275633,4.4,55.8,628.88,6.2888,263.010033444816,67.74,15.4
"day 4","cam 1","hour 2","arena 13","infected",1,19440.0677811973,3857,5340.32089262283,17.2,42.9,514.35,5.1435,1031.97324414716,141.3,8.2
"day 4","cam 1","hour 2","arena 13","infected",2,29811.3750682434,638,1743.46570702166,2.8,57.3,788.76,7.8876,170.702341137124,46.13,16.5
"day 4","cam 1","hour 2","arena 13","control",3,22370.5978918308,180,833.078676823013,0.8,59.3,591.89,5.9189,48.1605351170569,22.04,27.5
