day,hour,camera,arena,infection.status,track,distance.traveled.pixels,tot.distance.cm,frames,minutes.moving,minutes.staying,speed.cmxmin,tot.distance.m,seconds.moving,speed.mxsec,speed.cmxsec
day 8,hour 1,cam 3,arena 31,infected,2,86565.32024,2290.37,13231,59,0,38.8,22.9037,442.5083612,0.05,5.18
day 8,hour 1,cam 3,arena 31,control,3,45911.07748,1214.73,12628,56.3,2.7,21.6,12.1473,422.3411371,0.03,2.88
day 8,hour 1,cam 3,arena 31,control,4,41565.00575,1099.74,13152,58.6,0.4,18.8,10.9974,439.8662207,0.03,2.5
day 8,hour 1,cam 4,arena 32,infected,1,48940.51278,1294.88,12604,56.2,1.6,23,12.9488,421.5384615,0.03,3.07
day 8,hour 1,cam 4,arena 32,infected,2,50329.11799,1331.62,10524,46.9,10.9,28.4,13.3162,351.9732441,0.04,3.78
day 8,hour 1,cam 4,arena 32,control,3,31355.79239,829.62,11962,53.3,4.5,15.6,8.2962,400.0668896,0.02,2.07
day 8,hour 1,cam 4,arena 32,control,4,55333.7654,1464.04,12969,57.8,0,25.3,14.6404,433.7458194,0.03,3.38
day 1,hour 2,cam 1,arena 1,infected,1,17766.37994,470.07,12205,54.4,1.7,8.6,4.7007,408.1939799,0.01,1.15
day 1,hour 2,cam 1,arena 1,infected,2,0,0,12259,54.7,1.5,0,0,410,0,0
day 1,hour 2,cam 1,arena 1,control,3,0,0,0,0,56.1,NA,0,0,NA,NA
day 1,hour 2,cam 1,arena 1,control,4,28234.49774,747.04,12588,56.1,0,13.3,7.4704,421.0033445,0.02,1.77
day 1,hour 2,cam 2,arena 2,infected,1,22632.48326,598.82,12270,54.7,3,10.9,5.9882,410.367893,0.01,1.46
day 1,hour 2,cam 2,arena 2,infected,2,19174.71031,507.33,12944,57.7,0,8.8,5.0733,432.909699,0.01,1.17
day 1,hour 2,cam 2,arena 2,control,3,24350.58328,644.28,11885,53,4.7,12.2,6.4428,397.4916388,0.02,1.62
day 1,hour 2,cam 2,arena 2,control,4,24663.43852,652.55,12511,55.8,1.9,11.7,6.5255,418.4280936,0.02,1.56
day 1,hour 2,cam 3,arena 3,infected,1,19342.10483,511.76,12965,57.8,0,8.9,5.1176,433.6120401,0.01,1.18
day 1,hour 2,cam 3,arena 3,infected,2,13191.86964,349.03,12925,57.6,0.2,6.1,3.4903,432.2742475,0.01,0.81
day 1,hour 2,cam 3,arena 3,control,3,0,0,0,0,57.8,NA,0,0,NA,NA
day 1,hour 2,cam 3,arena 3,control,4,20800.2131,550.34,12881,57.4,0.4,9.6,5.5034,430.8026756,0.01,1.28
day 1,hour 2,cam 4,arena 4,infected,1,885.9690396,23.44,855,3.8,53.4,6.2,0.2344,28.59531773,0.01,0.82
