"","idnum","HComp.1","HComp.2","HComp.3","HComp.4","infected","trial","mouseidnum","lifespan","egg_total","hatch_total","avmaxtemp","avmintemp","avmaxhum","avminhum","havmaxtemp","havmintemp","havmaxhum","havminhum","PC1","PC2","PC3","PC4","TPC1","TPC2","TPC3","TPC4","TPC4.1"
"120",120,1.54317325519646,-0.152535219171221,0.265384565986321,0.0405700552651969,1,1,8,7,57,44,28.88125,27.11875,32.40625,27.4375,28.7961538461538,27.2115384615385,32.5769230769231,27.6153846153846,1.78046849550361,-0.139052663815891,-0.162333870537622,0.0710592205915843,1.72897183490442,-0.47258723045045,-0.0748721552524105,0.140779558390502,-0.0800256755576892
"121",121,1.55218039735873,-0.0337078538497084,0.371441822660691,0.0148965866621029,1,1,8,7,15,11,28.88125,27.11875,32.40625,27.4375,28.6647058823529,27.2235294117647,32.0588235294118,27.2941176470588,1.78046849550361,-0.139052663815891,-0.162333870537622,0.0710592205915843,1.72897183490442,-0.47258723045045,-0.0748721552524105,0.140779558390502,-0.0800256755576892
"122",122,1.47053429427274,0.0714298079042399,0.269289963831707,0.0291731131634952,1,1,8,6,13,7,28.7962962962963,27.1074074074074,32.7407407407407,27.7037037037037,28.647619047619,27.0571428571429,32.1904761904762,27.1428571428571,1.6844215675799,-0.139290086765885,-0.209241467659307,0.0540234389750539,1.63732006608142,-0.446229055064882,-0.106981487604465,0.177555297510404,-0.0646196732759775
"123",123,1.51318817777847,-0.204736200762077,-0.220399739926446,0.0215493627655289,1,1,8,14,43,34,28.9409836065574,26.9688524590164,34.9180327868852,27.8360655737705,29.1363636363636,26.9272727272727,34,27.1818181818182,1.52945799278339,-0.266178868256715,0.0721061714856863,-0.0382333078843665,1.47259302403746,-0.503980110539986,-0.0601022154396441,-0.109001708907226,0.0493957068299855
"124",124,1.63225031281547,-0.145610710961018,0.205752917562342,0.0615271062766758,1,1,8,8,22,11,28.9555555555556,27.2444444444444,32.2777777777778,27.3055555555556,28.8838709677419,27.2064516129032,32.258064516129,27.3548387096774,1.89953880156909,-0.225138982091592,-0.188178897883504,0.0470680749155534,1.83293724486822,-0.566252351919599,-0.125605141471047,0.14567690843498,-0.0544845104851705
"125",125,1.61947050956722,-0.274498871812991,0.343610020927735,0.0316103651689774,1,1,8,5,37,31,28.8347826086957,27.2391304347826,32.7391304347826,27.9130434782609,28.8363636363636,27.3681818181818,32.5454545454545,27.8181818181818,1.74948152110186,-0.252137097162663,-0.270699389018057,0.0468007253851986,1.6867107958639,-0.544113911918684,-0.197300404839797,0.200825597450212,-0.0558683340915289
"126",126,1.71498133528482,-0.209103709113889,0.195990610869723,0.0985298846902061,1,1,8,3,6,3,28.96,27.0733333333333,32.3333333333333,27.6,28.9714285714286,27.2642857142857,32,27.4285714285714,1.79101290193075,-0.15856715635318,-0.0890702139179047,0.130498547704967,1.73641550183375,-0.491033656284735,-0.0526217331772968,0.0664273078564049,-0.134556214427682
"127",127,-2.17291413334062,-1.00451464128938,0.143162196864718,0.032180794832857,1,1,8,33,257,208,27.3662337662338,25.8019480519481,49.0909090909091,38.3376623376623,27.4168,25.84,49.344,39.928,-1.74537677766966,-0.709725993698746,-0.0532484499931529,-0.10928944186516,-1.71115090487567,0.0464883304172633,-0.727116982793479,-0.320162230752882,0.164726562732735
"128",128,1.69419639355974,0.224721031550287,0.303817757503046,0.0536808217433544,1,1,8,3,17,13,28.7285714285714,27.1857142857143,30.7142857142857,26.2142857142857,28.6692307692308,27.0923076923077,30.6923076923077,26.2307692307692,1.95669194410454,0.105009138939425,-0.342252611001089,0.0173480269059487,1.92702483789139,-0.338182724392794,0.00574061289317816,0.388036051840111,-0.0491589018968998
"129",129,1.43764342251063,-0.206785765657134,-0.118559175242797,-0.0105848875862767,1,1,8,13,54,23,28.9107142857143,26.9607142857143,34.875,27.6071428571429,29.0212765957447,26.9659574468085,34.2127659574468,27.4042553191489,1.53247498536732,-0.224148017451811,0.0625215332533385,-0.065907753404885,1.48041972583451,-0.474124544974583,-0.0380151383781792,-0.08520160582621,0.0744264669565285
"130",130,0.746919017437333,-0.262559014261176,-0.025452751224352,-0.0578785770749186,1,1,8,20,62,22,27.9340659340659,26.2923076923077,43.3736263736264,35.6373626373626,28.625,26.74,36.9666666666667,29.3833333333333,-0.581991609305534,-0.654556371318692,-0.11928430996129,0.0708440831513781,-0.59133010736346,-0.220396420760122,-0.611317818634279,-0.192798209323869,-0.0313867451108759
