INSECT,STAGE_START,STAGE_END,"""2015-03-09""","""2015-03-15""","""2015-22-09""","""2015-29-09""","""2015-04-05""",Notes,DAYS.SINCE.PAINT
03H-CO-1-08,5,5,A,A,A,D,D,,180
03H-CO-1-09,5,AM,A,A,A,A,A,Molt 3/9,180
03H-CO-1-10,5,AF,A,A,A,A,A,Molt 3/15 or 22,180
03H-CO-1-11,5,AF,A,A,A,A,A,Molt 3/9,180
03H-CO-2-01,5,AM,A,A,A,A,A,Molt 3/15 or 22,180
03H-CO-2-02,AM,AM,A,A,A,A,A,,180
03H-CO-2-03,AM,AM,A,A,A,D,D,,180
03H-CO-2-04,5,5,A,A,A,A,A,In molt or stuck 3/22,180
03H-CO-2-05,5,5,A,A,D,D,D,,180
03H-CO-2-06,AM,AM,A,A,A,A,A,,180
03H-CO-2-07,5,5,K,D,D,D,D,,180
03H-CO-2-08,AM,AM,A,D,D,D,D,,180
03H-CO-2-09,AM,AM,A,A,A,A,A,,180
03H-CO-2-10,5,5,A,D,D,D,D,,180
03H-CO-2-11,AM,AM,A,A,A,A,A,,180
03H-CO-3-01,AM,AM,A,A,A,A,D,,180
03H-CO-3-02,AM,AM,A,A,A,A,A,,180
03H-CO-3-03,AF,AF,K,A,A,A,A,,180
03H-CO-3-04,4,4,A,A,D,D,D,,180
03H-CO-3-05,AF,AF,A,A,A,A,A,,180
03H-CO-3-06,AM,AM,A,A,A,A,A,,180
03H-CO-3-07,5,5,A,D,D,D,D,,180
03H-CO-3-08,AM,AM,A,A,A,A,A,,180
03H-CO-3-09,AF,AF,A,A,A,A,A,,180
03H-CO-3-10,AF,AF,A,A,A,A,A,,180
03H-CO-3-11,5,5,D,D,D,D,D,,180
03H-CO-4-01,AF,AF,A,A,A,A,A,,180
03H-CO-4-02,AF,AF,A,A,A,A,A,,180
03H-CO-4-03,AF,AF,A,A,A,A,A,,180
03H-CO-4-04,5,5,D,D,D,D,D,,180
03H-CO-4-05,5,AF,A,A,A,A,A,,180
03H-CO-4-06,AF,AF,A,A,A,A,A,,180
03H-CO-4-07,AM,AM,A,A,A,A,K,,180
03H-CO-4-08,AM,AM,A,A,A,A,A,,180
03H-CO-4-09,5,5,A,A,A,A,A,,180
03H-CO-4-10,5,AM,A,A,A,A,A,,180
03H-CO-4-11,5,5,A,D,D,D,D,,180
06H-5A-1-01,AM,AM,D,D,D,D,D,,180
06H-5A-1-02,5,5,D,D,D,D,D,,180
06H-5A-1-03,AF,AF,K,K,K,K,K,,180
06H-5A-1-04,AM,AM,K,K,K,K,K,,180
06H-5A-1-05,AM,AM,K,K,K,K,D,,180
06H-5A-1-06,5,5,D,D,D,D,D,,180
06H-5A-1-07,5,5,D,D,D,D,D,,180
06H-5A-1-08,AM,AM,K,D,D,D,D,,180
06H-5A-1-09,AF,AF,K,D,D,D,D,,180
06H-5A-1-10,AM,AM,K,D,D,D,D,,180
06H-5A-1-11,AM,AM,K,D,D,D,D,,180
06H-5A-2-01,5,5,K,K,D,D,D,,180
06H-5A-2-02,AF,AF,K,D,D,D,D,,180
06H-5A-2-03,5,4,K,K,D,D,D,,180
06H-5A-2-04,AM,AM,K,D,D,D,D,,180
06H-5A-2-05,AM,AAM,K,D,D,D,D,,180
06H-5A-2-06,AM,AM,K,D,D,D,D,,180
06H-5A-2-07,AF,AF,K,D,D,D,D,,180
06H-5A-2-08,AF,AF,K,K,D,D,D,,180
06H-5A-2-09,4,4,K,K,D,D,D,,180
06H-5A-2-10,AF,AF,K,D,D,D,D,,180
06H-5A-2-11,AF,AF,K,D,D,D,D,,180
06H-5A-3-01,5,5,K,D,D,D,D,,180
06H-5A-3-02,AF,AF,K,K,A,K,D,,180
06H-5A-3-03,AF,AF,K,K,K,D,D,,180
06H-5A-3-04,AM,AM,K,D,D,D,D,,180
06H-5A-3-05,AM,AM,D,D,D,D,D,,180
06H-5A-3-06,AM,AM,K,D,D,D,D,,180
06H-5A-3-07,5,5,K,D,D,D,D,,180
06H-5A-3-08,5,5,K,D,D,D,D,,180
06H-5A-3-09,5,5,D,D,D,D,D,,180
06H-5A-3-10,5,5,D,D,D,D,D,,180
06H-5A-3-11,AM,AM,K,D,D,D,D,,180
